Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Aprikose;in Sirup, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;264;62;0.1;0;0.1;0;0;13.7;13.3;0;1.4;0.9;0;0;83;154;77;0;925;925;0.02;Sp.;0.02;0;0.11;6.9;0.12;2.2;0;0.45;140;9.7;4.6;18;4.9;11;0.1;0.5;0.1;0.2;ja;ja;ja;ja
Aprikose;mit Süssungsmittel, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;171;40;0.1;0;0.1;0;0;8.2;6.1;0;1.4;0.9;0;0;89.4;154;77;0;925;925;0.02;0.02;0.05;0;0.34;3.2;0.16;1.6;0;0.8;180;0;1.1;16;7.6;20;0.2;0.6;0.1;0.1;ja;ja;ja;ja
Aprikose;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;185;44;0.1;0;0.1;0;0;9;6.7;Sp.;1.7;0.8;0;0;87.1;384;192;0;2305;2243;0.02;0.02;0.06;0;0.38;5.6;0.18;3.6;0;0.7;260;Sp.;1;15;8.4;22;0.2;0.5;0.1;0.1;ja;ja;ja;ja
Aprikosenkuchen;hausgemacht, gebacken (mit Blätterteig) Aprikosenwähe ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;580;139;6.7;2.8;2.7;0.8;18;16.1;6.2;8.3;1.5;2.8;0.3;0;73;225;117;8;1302;1267;0.04;0.04;0.05;0.08;0.27;5.2;0.27;2;0.1;1.2;200;110;170;24;8.8;40;0.3;3.2;0.2;1.5;ja;nein;nein;nein
Aprikosenkuchen;hausgemacht, gebacken (mit Blätterteig) Aprikosenwähe ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;580;139;6.7;2.8;2.7;0.8;18;16.1;6.2;8.3;1.5;2.8;0.3;0;73;225;117;8;1302;1267;0.04;0.04;0.05;0.08;0.27;5.2;0.27;2;0.1;1.2;200;110;170;24;8.8;40;0.3;3.2;0.2;1.5;ja;nein;nein;nein
Aprikosenkuchen;hausgemacht, gebacken (mit Blätterteig) Aprikosenwähe ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;580;139;6.7;2.8;2.7;0.8;18;16.1;6.2;8.3;1.5;2.8;0.3;0;73;225;117;8;1302;1267;0.04;0.04;0.05;0.08;0.27;5.2;0.27;2;0.1;1.2;200;110;170;24;8.8;40;0.3;3.2;0.2;1.5;ja;nein;nein;nein
Aprikosenkuchen;hausgemacht, gebacken (mit Kuchenteig) Aprikosenwähe ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;589;141;6.5;2.8;2.6;0.7;18;16.8;6.2;9;1.5;3;0.2;0;72.3;219;114;8;1267;1267;0.04;0.05;0.06;0.08;0.28;5.1;0.28;2;0.1;1.17;200;88;140;24;12;48;0.4;3.2;0.3;1.6;ja;nein;nein;nein
Aprikosenkuchen;hausgemacht, gebacken (mit Kuchenteig) Aprikosenwähe ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;589;141;6.5;2.8;2.6;0.7;18;16.8;6.2;9;1.5;3;0.2;0;72.3;219;114;8;1267;1267;0.04;0.05;0.06;0.08;0.28;5.1;0.28;2;0.1;1.17;200;88;140;24;12;48;0.4;3.2;0.3;1.6;ja;nein;nein;nein
Aprikosenkuchen;hausgemacht, gebacken (mit Kuchenteig) Aprikosenwähe ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;589;141;6.5;2.8;2.6;0.7;18;16.8;6.2;9;1.5;3;0.2;0;72.3;219;114;8;1267;1267;0.04;0.05;0.06;0.08;0.28;5.1;0.28;2;0.1;1.17;200;88;140;24;12;48;0.4;3.2;0.3;1.6;ja;nein;nein;nein
Artischocken;Herz, abgetropft (Konserve) ;Gemüse konserviert ;Gemüse ;pro 100g essbarer Anteil;114;27;<0.5;Sp.;Sp.;Sp.;0;2.3;1.2;<0.4;3.2;1.8;0.8;0;90.5;4;2;0;25;25;0.02;0.03;0.03;0;0.39;54.3;0.13;12.2;<0.3;1.12;150;310;500;25;18;34;0.4;<20;0.3;<20;ja;ja;ja;ja
