Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Spargel;gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;109;26;0.2;0;0;0;0;3.1;3;0.1;1.6;2.1;0;0;93;23;12;0;141;133;0.1;0.12;0.06;0;0.88;45.8;0.16;11.2;0;1.7;230;2.6;50;21;16;53;0.7;6.7;0.4;k.A.;ja;ja;ja;ja
Spargel;roh (weiss und grün) ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;115;27;0.2;Sp.;Sp.;Sp.;0;3.3;3.2;0.1;1.7;2.2;0;0;92;26;13;0;156;148;0.12;0.13;0.07;0;1.1;76.3;0.19;14.9;0;1.7;270;3;53;22;18;56;0.9;7;0.4;k.A.;ja;ja;ja;ja
Spinat;gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;119;28;0.5;0.1;0;0.3;0;1;0.9;0.1;3.2;3.4;0.2;0;91.9;613;307;0;3679;3558;0.08;0.26;0.23;0;0.74;81.9;0.25;28.9;0;2.42;590;73;68;130;69;65;2.8;15;0.7;k.A.;ja;ja;ja;ja
Spinat;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;95;23;0.4;0.1;0;0.2;0;0.8;0.7;0.1;2.6;2.7;0.2;0;91.7;518;259;0;3107;3005;0.08;0.22;0.21;0;0.7;103.8;0.22;40;0;1.84;530;65;54;100;58;52;2.7;12;0.6;k.A.;ja;ja;ja;ja
Spinatkuchen;gebacken (mit Blätterteig) Spinatwähe;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;708;170;11.5;6.2;3.1;0.8;46;10.1;1.4;8.6;2;5.5;1.1;0;71;359;225;90;1618;1618;0.09;0.17;0.13;0.1;0.62;30.4;0.31;11.3;0.3;1.47;330;440;710;87;37;81;1.7;11;0.7;k.A.;ja;nein;nein;nein
Spinatkuchen;gebacken (mit Blätterteig) Spinatwähe;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;708;170;11.5;6.2;3.1;0.8;46;10.1;1.4;8.6;2;5.5;1.1;0;71;359;225;90;1618;1618;0.09;0.17;0.13;0.1;0.62;30.4;0.31;11.3;0.3;1.47;330;440;710;87;37;81;1.7;11;0.7;k.A.;ja;nein;nein;nein
Spinatkuchen;gebacken (mit Kuchenteig) Spinatwähe;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;720;173;10.7;5.7;2.9;0.8;43;12.2;1.4;10.7;2.1;5.9;1.1;0;69.3;351;217;82;1615;1615;0.09;0.17;0.14;0.1;0.63;30.6;0.32;11.3;0.3;1.46;340;440;700;87;38;84;1.8;11;0.8;k.A.;ja;nein;nein;nein
Spinatkuchen;gebacken (mit Kuchenteig) Spinatwähe;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;720;173;10.7;5.7;2.9;0.8;43;12.2;1.4;10.7;2.1;5.9;1.1;0;69.3;351;217;82;1615;1615;0.09;0.17;0.14;0.1;0.63;30.6;0.32;11.3;0.3;1.46;340;440;700;87;38;84;1.8;11;0.8;k.A.;ja;nein;nein;nein
Spitzbube (Mürbeteiggebäck mit Konfitüre) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2090;499;25.6;15.1;5.9;1.4;67;60.3;30.9;29.1;1.9;5.8;0.1;0;6.8;223;214;205;109;109;0.07;0.04;0.07;0.01;0.35;3.6;0.17;1;0.4;0.52;110;34;59;14;16;60;1;1;0.6;1.6;ja;nein;nein;nein
Spitzbube (Mürbeteiggebäck mit Konfitüre) ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;2090;499;25.6;15.1;5.9;1.4;67;60.3;30.9;29.1;1.9;5.8;0.1;0;6.8;223;214;205;109;109;0.07;0.04;0.07;0.01;0.35;3.6;0.17;1;0.4;0.52;110;34;59;14;16;60;1;1;0.6;1.6;ja;nein;nein;nein
St. Galler Bürli (halbweiss) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;979;231;1;0.1;0.1;0.5;0;44.6;0.3;43.9;3.5;9.1;2.1;0;42.5;0;0;0;0;0;0.15;0.07;0.18;0;0.78;20.7;0.37;0;0;0.27;140;840;1280;16;37;130;1.7;1.2;1.2;2.7;ja;ja;ja;nein
St. Galler Schüblig ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;983;237;20.7;7.6;9.8;2.2;42;0.2;0.2;0;0;12.6;2.1;0;66.5;4;4;4;3;3;0.09;0.11;0.05;1.19;2.02;0.9;0.17;52.2;0;0.32;76;850;1280;5;8.4;140;0.9;0.4;1.7;k.A.;nein;nein;ja;ja
St. Paulin ;;Käse, Hartkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1220;294;23;13.8;5.4;1.1;69;0;0;0;0;21.8;2;0;55;275;263;250;150;150;0.04;0.32;0.06;2;0.1;18;0.8;Sp.;0.5;0.69;80;800;1100;700;35;500;0.4;35;4;k.A.;ja;nein;nein;ja
Stachelbeere;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;163;39;0.2;0;0;0.1;0;7.1;7.1;0;3;0.8;0;0;87.2;12;6;0;74;70;0.02;0.02;0.02;0;0.28;16;0.19;40.3;0;0.62;200;2;0.9;29;15;30;0.6;1;0.2;1.3;ja;ja;ja;ja
Stangensellerie;gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;61;15;0.1;0;0;0;0;1.5;1.5;0;2;0.9;0.2;0;95.5;26;13;0;155;155;0.02;0.04;0.06;0;0.34;11.5;0.26;8.2;0;0.21;280;99;130;53;13;32;0.4;1;0.1;k.A.;ja;ja;ja;ja
Stangensellerie;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;61;15;0.1;Sp.;Sp.;Sp.;0;1.5;1.5;0;2;0.9;0.3;0;94.4;27;13;0;162;162;0.03;0.04;0.07;0;0.4;18;0.29;10.3;0;0.2;310;110;130;52;14;32;0.5;1;0.1;k.A.;ja;ja;ja;ja
Steinpilz;gedünstet (ohne Zugabe von Fett und Salz) ;Pilze zubereitet ;Pilze;pro 100g essbarer Anteil;190;46;0.5;0.1;0;0.2;0;0.6;0.1;0;7.3;6.1;0;0;87.3;0;0;0;2;2;0.3;1.03;0.03;0;14.28;18.3;2.7;1.7;3.8;0.19;320;6.4;35;5;12;98;1;4.2;1.6;k.A.;ja;ja;ja;ja
Steinpilz;roh ;Pilze frisch ;Pilze;pro 100g essbarer Anteil;164;39;0.4;0.1;0;0.2;0;0.5;0.1;0;6;5.4;0;0;88.6;0;0;0;2;2;0.32;1.02;0.03;0;14.64;25;2.7;1.9;3.1;0.16;340;6;30;4.2;12;85;1;3.6;1.5;k.A.;ja;ja;ja;ja
Strudelteig;ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;991;234;2.5;0.3;1.4;0.6;0;44.3;0.2;43.6;2;7.6;1.9;0;44.3;0;0;0;0;0;0.13;0.02;0.1;0;0.2;10.2;0.31;0;0;0.71;110;750;1150;9.5;22;77;1;0.9;0.7;1.5;ja;nein;nein;nein
Surimi ;;Fleisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;527;125;4.9;0.5;2.4;1.4;11;11.8;2.1;9.7;<0.3;8.3;1.6;0;72.5;28;28;28;0;0;0.02;0.02;0.03;0.71;0.22;2;0.07;0;<0.5;1.1;52;630;1010;19;12;44;0.4;10;0.2;9.2;nein;nein;nein;ja
Süsskartoffel;gedämpft (ohne Zugabe von Salz) ;-;Kartoffeln und Kartoffelprodukte ;pro 100g essbarer Anteil;343;81;0.1;0;0;0;0;17.1;4.2;12.7;3;1.6;0.1;0;78.3;684;342;0;4105;4105;0.07;0.06;0.18;0;0.51;6.7;0.69;15.8;0;0.27;370;51;45;40;25;51;0.5;2.3;0.3;k.A.;ja;ja;ja;ja
Süsskartoffel;roh ;-;Kartoffeln und Kartoffelprodukte ;pro 100g essbarer Anteil;344;81;0.1;0;0;0;0;17.1;4.2;12.7;3;1.6;0.1;0;77.3;745;373;0;4470;4470;0.08;0.06;0.21;0;0.56;11;0.8;19.3;0;0.26;420;55;46;41;26;52;0.6;2.4;0.3;k.A.;ja;ja;ja;ja
Taboulé;zubereitet (mit Bulgur) ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;461;110;5.5;0.7;3.9;0.5;0;11.5;1.2;10.2;2.8;2.3;0.4;0;78;31;16;0;188;188;0.07;0.03;0.06;0;0.94;19.4;0.26;9.1;0;2.05;140;150;250;19;22;71;0.8;2.2;0.5;k.A.;ja;ja;ja;nein
Taboulé;zubereitet (mit Couscous) ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;542;130;6.1;0.7;4.4;0.5;0;15.3;1.4;13.9;1.2;2.8;0.4;0;74.9;35;18;0;210;210;0.03;0.03;0.04;0;0.55;17.3;0.14;10.3;0;2.05;120;170;290;18;11;32;0.4;2.1;0.5;k.A.;ja;ja;ja;nein
Tartarsauce;mit Rapsöl-Mayonnaise, hausgemacht ;Saucen;Verschiedenes;pro 100g essbarer Anteil;1580;384;40;3.7;23;10.4;143;1.9;1.8;0.1;0.6;3.7;0.3;0;53.8;77;62;48;176;176;0.05;0.1;0.07;0.4;0.2;24.7;0.69;9.4;0.8;12.9;110;140;150;26;6.5;76;0.9;12;0.5;k.A.;ja;nein;nein;ja
Tee;ungezuckert ;Tee;Getränke;pro 100 ml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.9;0;0;0;0;0;0;0;0;0;0.1;5;0;0;0;0;19;0;1;0;1;1;0;1;0;k.A.;ja;ja;ja;ja
Teigwaren mit Ei;gekocht im Salzwasser (unjodiert) ;Nudeln;Getreide und Getreideprodukte;pro 100g essbarer Anteil;559;132;1.1;0.2;0.1;0.4;32;25;1.3;22.9;1.3;5;0.9;0;67.7;21;21;21;0;0;0.05;0.02;0.02;0;0.64;5.8;0.1;0;0;0.08;49;340;520;8.3;13;55;0.8;1.4;0.5;32;ja;nein;ja;nein
Teigwaren mit Ei;trocken ;Nudeln;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1550;365;2.8;0.5;0.4;1;86;69.9;3.7;64;3.4;13.3;0;0;10.7;63;63;63;0;0;0.17;0.07;0.06;0;1.9;22;0.3;0;0;0.21;220;17;31;23;42;150;3;3.3;1.3;86;ja;nein;ja;nein
Teigwaren ohne Ei;gekocht im Salzwasser (unjodiert) ;Nudeln;Getreide und Getreideprodukte;pro 100g essbarer Anteil;670;158;0.6;0.1;0;0.2;0;31.2;0.2;30.8;2.4;5.9;1;0;60.5;0;0;0;0;0;0.04;0.02;0.07;0;0.84;10.1;0.13;0;0;0.09;56;420;640;9.8;22;73;0.5;0.5;0.7;24;ja;ja;ja;nein
Teigwaren ohne Ei;trocken ;Nudeln;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1500;353;1.2;0.2;0.1;0.5;0;70.5;0.4;69.7;5.1;12.6;0;0;10;0;0;0;0;0;0.09;0.06;0.17;0;2;31;0.3;0;0;0.2;200;5;22;22;56;170;1.5;0.6;1.5;51;ja;ja;ja;nein
Teigwaren ohne Ei;Vollkorn, gekocht im Salzwasser (unjodiert) ;Nudeln;Getreide und Getreideprodukte;pro 100g essbarer Anteil;641;152;1.2;0.2;0.1;0.5;0;26.8;0.3;26.3;5.4;5.9;1;0;61.2;0;0;0;0;0;0.27;0.04;0.08;0;1.3;13;0.34;0;0;0.09;110;420;640;15;48;160;1.4;1.1;1.4;k.A.;ja;ja;ja;nein
Teigwaren ohne Ei;Vollkorn, trocken ;Nudeln;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1430;338;2.5;0.4;0.3;1.1;0;60.6;0.7;59.5;11.5;12.6;0;0;10.5;0;0;0;0;0;0.67;0.11;0.2;0;3.1;40;0.8;0;0;0.2;390;5;22;34;120;370;3.9;1.9;3;k.A.;ja;ja;ja;nein
Teigwaren;frisch, gefüllt mit Fleisch, gekocht (ohne Zugabe von Fett und Salz) Tortelini, Ravioli ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;734;174;4.7;1.7;2;0.8;26;25.1;1;22.1;2.2;6.9;0.7;0;60.3;35;28;<21;82;82;0.19;0.05;0.05;0.57;0.51;13.6;0.32;<0.5;<0.4;0.28;95;300;450;29;18;86;0.8;8;0.7;9;nein;nein;ja;nein
Teigwaren;frisch, gefüllt mit Spinat und Ricotta, gekocht (ohne Zugabe von Fett und Salz) Tortelini, Ravioli ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;752;178;4.9;1.7;1.7;0.8;37;25.8;0.7;25.1;1.5;7.1;0.5;0;61.1;76;52;28;286;286;0.04;0.08;0.05;0.18;0.69;22.8;0.35;1.8;0.3;0.84;81;190;590;51;15;79;0.5;7.6;1;k.A.;ja;nein;ja;nein
Teigwaren;frisch, gefüllt mit Spinat und Ricotta, roh Tortelini, Ravioli ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;899;213;5.6;2;1.9;0.9;43;31.5;0.8;30.6;1.8;8.3;1.1;0;51.6;97;67;36;369;369;0.06;0.12;0.07;0.21;0.9;37.8;0.46;2.9;0.3;0.98;160;440;690;62;21;96;0.8;8.8;1.2;k.A.;ja;nein;ja;nein
Teigwarenauflauf mit Schinken;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;683;163;6.9;3.5;1.9;0.6;78;14.4;1.4;13;1;10.2;1.2;0;67.6;63;61;58;26;26;0.11;0.15;0.09;0.38;1.16;8.9;0.52;8.5;0.5;0.37;140;480;750;120;20;180;0.6;12;1.2;k.A.;nein;nein;nein;nein
Teigwarensalat mit französischer Sauce ;;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;534;128;5.8;0.9;2.3;2.1;42;12.6;1;11.5;1.3;5.6;0.8;0;74.9;38;25;11;164;164;0.11;0.06;0.09;0.12;1.03;16.6;0.38;11.9;0.3;2.3;140;300;440;17;16;83;0.5;4.3;0.6;k.A.;ja/nein;nein;nein;nein
Teigwarensalat mit italienischer Sauce ;;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;545;130;6.1;0.9;4;0.6;38;12.7;1;11.6;1.3;5.5;0.7;0;74.6;39;25;11;168;168;0.11;0.06;0.1;0.11;1.02;16.2;0.37;12.1;0.3;1.79;140;280;420;16;16;81;0.5;4;0.6;k.A.;ja/nein;nein;ja;nein
Teilentrahmte Milch;pasteurisiert ;Milch;Milch und Milchprodukte;pro 100 ml;236;56;2.8;1.7;0.7;0.1;11;4.7;4.7;0;0;3.1;0.1;0;88.4;34;33;32;14;14;0.02;0.19;0.02;0.27;0.1;5.1;0.3;0.6;0;0.07;160;39;96;120;10;90;0;9.2;0.4;1.2;ja;nein;nein;ja
Teilentrahmte Milch;UHT ;Milch;Milch und Milchprodukte;pro 100 ml;238;57;2.8;1.7;0.7;0.1;11;4.6;4.6;0;0;3.3;0.1;0;88.4;34;33;32;14;14;0.02;0.19;0.03;0.16;0.12;4.3;0.37;0.5;0.1;0.09;160;38;96;120;10;94;0;10;0.4;1.2;ja;nein;nein;ja
Terrine de Campagne ;;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1230;298;26.5;9.7;12;3;119;1;0.8;0.2;0.1;13.6;2.2;0.3;58.7;1932;1931;1931;4;4;0.25;0.75;0.21;6.33;4.13;20;1.41;3.9;0;0.47;130;870;1310;17;14;110;4.2;4.8;2;k.A.;nein;nein;nein;ja
Tessinerbrot ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1360;323;5.2;0.7;1.5;2.9;0;57.1;0.6;56;2.9;10.3;1.7;0;25.4;0;0;0;0;0;0.16;0.07;0.14;0.01;0.58;28.3;0.37;0;0;2.04;170;670;1040;13;29;110;1.3;1.1;1;3.3;ja;ja;ja;nein
Tête de Moine ;;Käse, Hartkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1730;417;35.5;21.3;8.3;1.6;107;0;0;0;0;24.2;2.3;0;35.2;490;480;470;119;119;0.01;0.27;0.27;1.6;0.08;24;0.32;Sp.;0.7;0.59;84;930;1360;700;27;510;0.1;28;3.9;k.A.;ja;nein;nein;ja
Thon im Öl;abgetropft ;Fisch konserviert;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;780;186;8.4;1.5;2.6;3.7;33;0;0;0;0;27.6;0.9;0;62.4;6;6;6;0;0;0.02;0.1;0.52;5;14;5;0.3;0;2.4;2;270;350;Sp.;10;33;200;1.2;43;0.6;k.A.;nein;nein;ja;ja
Thon im Wasser;abgetropft ;Fisch konserviert;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;494;117;1.6;0.5;0.4;0.5;54;0;0;0;0;25.6;1;0;72;372;372;372;0;0;0.02;0.07;0.37;3;11.2;7;0.3;0;2.2;0.9;280;420;Sp.;9;28;160;1.6;Sp.;0.7;k.A.;nein;nein;ja;ja
Thonsalat an Essig-Öl-Sauce (aus Thon im Wasser) ;;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;456;109;4.8;0.7;3.2;0.6;16;6.8;3.2;3.6;1.1;9;0.8;0;78.3;130;122;113;104;104;0.03;0.05;0.16;0.91;3.95;15.9;0.27;4.2;0.7;1.76;190;330;67;8.7;18;77;0.8;0.6;0.4;k.A.;nein;nein;ja;ja
Thunfisch;roh ;Fisch frisch;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;627;149;6.2;1.8;1.6;2.2;38;0;0;0;0;23.4;0.1;0;69;372;372;372;0;0;0.22;0.12;0.6;6.8;9;15;0.9;0;4.2;1;330;39;140;28;34;200;1.1;50;0.8;k.A.;nein;nein;ja;ja
Thymian;roh ;-;Kräuter, Gewürze und Würzmittel ;pro 100g essbarer Anteil;219;52;1.2;0.6;0.1;0.3;0;7.3;7.3;0.1;3;1.5;0;0;85;475;238;0;2851;2851;0.08;0.07;0.15;0;0.8;19.5;0;0;0;0.8;130;9;32;310;36;32;20;1;1;k.A.;ja;ja;ja;ja
Tilsiter;pasteurisiert, vollfett ;Käse, Hartkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1460;351;28;16.8;6.6;1.3;84;0;0;0;0;24.1;1.4;0;42;299;287;274;150;150;0.05;0.27;0.06;1.64;0.21;30;0.41;Sp.;0.5;0.76;60;550;850;840;29;510;0.1;7.3;3.7;k.A.;ja;nein;nein;ja
Tilsiter;Rohmilch, vollfett ;Käse, Hartkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1560;376;30.2;18.1;7.1;1.4;91;0;0;0;0;25.6;1.7;0;39.6;299;287;274;150;150;0.05;0.38;0.06;1.33;0.23;33;0.44;Sp.;0.6;0.84;98;690;1060;900;24;540;0.3;7.9;4.2;k.A.;ja;nein;nein;ja
Tirolercake ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1720;412;23.1;10.3;9;1.7;95;41.4;20.4;20.1;2.5;8.3;0.1;0;25.4;129;125;121;51;51;0.11;0.11;0.11;0.25;0.29;16.2;0.63;0.3;0.7;2.2;250;55;100;54;40;130;1.7;9.5;1.1;k.A.;ja;nein;nein;nein
Tirolercake ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1720;412;23.1;10.3;9;1.7;95;41.4;20.4;20.1;2.5;8.3;0.1;0;25.4;129;125;121;51;51;0.11;0.11;0.11;0.25;0.29;16.2;0.63;0.3;0.7;2.2;250;55;100;54;40;130;1.7;9.5;1.1;k.A.;ja;nein;nein;nein
Toastbrot mit Butter ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1330;316;10.4;6;2.4;0.9;38;45.7;2.7;42.6;2.2;8.9;1.4;0;33.5;90;87;83;37;37;0.11;0.12;0.06;0.1;0.48;22;0.36;0.2;0.2;0.33;180;540;860;46;14;88;0.5;5.1;0.6;2.6;ja;nein;nein;nein
Toastbrot mit Pflanzenölen ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1130;267;3.3;0.3;1.5;1.1;0;49.2;4.4;44.4;2.9;8.7;1.3;0;36.7;0;0;0;0;0;0.16;0.06;0.16;0;0.62;25;0.38;0;0;0.82;140;520;810;13;30;110;1.4;0.9;1;2.8;ja;ja;ja;nein
Toastbrot;Vollkorn ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1140;271;4.9;0.5;1.9;2.3;0;43.7;4.2;39.5;7.4;9.3;1.3;0;35.3;1;0;0;3;3;0.25;0.14;0.29;0;0.63;31.6;0.65;0;0;2.15;270;510;770;21;87;240;3.4;1.8;2.3;3.3;ja;ja/nein;ja/nein;nein
Toastbrot;dunkel oder Mehrkorn ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1150;272;4.7;0.5;1.9;2;0;45.6;4;41.4;5.2;9.1;1.3;0;36.1;0;0;0;2;2;0.19;0.1;0.23;0;0.72;26.5;0.49;0;0;1.71;200;500;770;17;59;180;2.4;1.4;1.7;3.7;ja;ja/nein;ja/nein;nein
Tofu;fest, nature ;Getreideprodukte;Getreide und Getreideprodukte;pro 100g essbarer Anteil;617;148;8.5;1.4;1.9;4.8;0;2.9;0.6;Sp.;Sp.;14.7;0;0;74.7;1;0;0;5;Sp.;0.08;0.05;0.04;0;0.28;25.1;0.13;Sp.;0;1.2;140;10;75;100;100;210;2.4;6;1.3;k.A.;ja;ja;ja;ja
Tofu;fest, nature ;Fleischersatz;Ersatzprodukte (Milch, Fleisch, Getreide) ;pro 100g essbarer Anteil;617;148;8.5;1.4;1.9;4.8;0;2.9;0.6;Sp.;Sp.;14.7;0;0;74.7;1;0;0;5;Sp.;0.08;0.05;0.04;0;0.28;25.1;0.13;Sp.;0;1.2;140;10;75;100;100;210;2.4;6;1.3;k.A.;ja;ja;ja;ja
Tofu;geräuchert ;Getreideprodukte;Getreide und Getreideprodukte;pro 100g essbarer Anteil;684;164;9.5;1.5;2;5.6;k.A.;2.9;0.9;<0.4;<0.5;16.4;0.7;0;71.2;1;0;0;5;<5;0.1;0.06;0.04;0.02;0.41;16.4;0.26;<0.5;<0.3;1.32;190;300;570;62;140;190;2;k.A.;1.4;k.A.;ja;ja;ja;ja
Tofu;geräuchert ;Fleischersatz;Ersatzprodukte (Milch, Fleisch, Getreide) ;pro 100g essbarer Anteil;684;164;9.5;1.5;2;5.6;k.A.;2.9;0.9;<0.4;<0.5;16.4;0.7;0;71.2;1;0;0;5;<6;0.1;0.06;0.04;0.02;0.41;16.4;0.26;<0.5;<0.3;1.32;190;300;570;62;140;190;2;k.A.;2.4;k.A.;ja;ja;ja;ja
Tofu;seidig (weich), nature Seidentofu;Getreideprodukte;Getreide und Getreideprodukte;pro 100g essbarer Anteil;223;53;2.9;0.5;0.7;1.6;0;1.5;1.1;Sp.;0.6;5;0;0;88.6;1;0;0;5;Sp.;0.09;0.03;0.06;0;0.4;24.2;0.23;Sp.;0;0.51;210;Sp.;110;21;64;58;0.6;0.7;0.5;k.A.;ja;ja;ja;ja
Tofu;seidig (weich), nature Seidentofu;Fleischersatz;Ersatzprodukte (Milch, Fleisch, Getreide) ;pro 100g essbarer Anteil;223;53;2.9;0.5;0.7;1.6;0;1.5;1.1;Sp.;0.6;5;0;0;88.6;1;0;0;5;Sp.;0.09;0.03;0.06;0;0.4;24.2;0.23;Sp.;0;0.51;210;Sp.;110;21;64;58;0.6;0.7;0.5;k.A.;ja;ja;ja;ja
Tomate;gedünstet (ohne Zugabe von Fett und Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;109;26;0.4;0.1;0.1;0.2;0;3.9;3.9;0;1.5;1;0;0;93.3;93;47;0;559;559;0.05;0.04;0.1;0;0.63;14.6;0.16;24.5;0;1.32;230;1.8;38;11;6.9;21;0.2;1.4;0.1;k.A.;ja;ja;ja;ja
Tomate;geschält (Konserve) Pelati;Gemüse konserviert;Gemüse ;pro 100g essbarer Anteil;82;20;0.2;0;0;0.1;0;3;2.9;0.1;1;0.9;0.3;0;93.8;59;29;0;353;353;0.05;0.03;0.06;0;0.7;11;0.2;13;0;1;240;100;360;16;12;20;0.7;2;0.1;k.A.;ja;ja;ja;ja
Tomate;getrocknet ;Gemüse getrocknet;Gemüse ;pro 100g essbarer Anteil;882;210;0.5;0.1;0.1;0.3;0;29.2;13.7;0.9;21.7;11.3;5.3;0;26.3;223;112;0;1340;1340;0.2;0.49;0.33;0;9.05;68;1.21;32.6;0;0.01;3420;2120;3190;140;180;320;6.5;k.A.;2;5.6;ja;ja;ja;ja
Tomate;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;89;21;0.3;0.1;0.1;0.1;0;3.2;3.2;Sp.;1.2;0.8;0;0;93.8;79;39;0;472;472;0.05;0.04;0.09;0;0.6;18.5;0.15;25.5;0;1;220;1.6;30;8.5;6.3;17;0.2;1.1;0.1;k.A.;ja;ja;ja;ja
Tomatenkuchen;gebacken (mit Blätterteig) ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;645;155;11;6.2;2.7;0.8;63;10;2.6;7.3;1;3.5;0.4;0;74.6;150;126;101;290;290;0.05;0.08;0.07;0.16;0.34;11.5;0.34;10.1;0.4;0.87;170;150;240;33;10;59;0.6;6.2;0.4;k.A.;ja;nein;nein;nein
Tomatenkuchen;gebacken (mit Blätterteig) ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;645;155;11;6.2;2.7;0.8;63;10;2.6;7.3;1;3.5;0.4;0;74.6;150;126;101;290;290;0.05;0.08;0.07;0.16;0.34;11.5;0.34;10.1;0.4;0.87;170;150;240;33;10;59;0.6;6.2;0.4;k.A.;ja;nein;nein;nein
